講義名,開講期間,曜日・時限,講義室,URL
英語Ⅱ(Academic English Skills 2b)　AES 理S02　第2ターム,第2,金2,全学講義棟 2-502,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12191_ja_JP.html
英語Ⅱ(Academic English Skills 2b)　AES 理S03　第2ターム,第2,金2,全学講義棟 2-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12192_ja_JP.html
英語Ⅱ(Academic English Skills 2b)　AES 理S04　第2ターム,第2,金2,全学講義棟 2-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12193_ja_JP.html
英語Ⅱ(Academic English Skills 2b)　AES 理S05　第2ターム,第2,金2,全学講義棟 2-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12194_ja_JP.html
英語Ⅱ(Academic English Skills 2b)　AES 理S06+再履生　第2ターム,第2,金2,全学講義棟 2-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12195_ja_JP.html
社会学概説　第２ターム 金１・金２,第2,金2,全学講義棟 1-207,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ205012_ja_JP.html
現代教育論　第２ターム 金１・金２,第2,金2,全学講義棟 1-205,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ207012_ja_JP.html
農学入門　第２ターム 金１・金２,第2,金2,全学講義棟 1-403,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ500051_ja_JP.html
AL2（Pythonで始める機械学習演習）　第２ターム 金１・金２,第2,金2,全学講義棟 1-303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ600131_ja_JP.html
英語Ⅰ(English for Specific Purposes 1b)　ESP 第2ターム　火２・金２,第2,金2,全学講義棟 2-501,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11454_ja_JP.html
日本語E(読解)b,第2,金2,全学講義棟 2-103,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200211_ja_JP.html
Human Resource Management Japan and Asia,第2,金2,経-A303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BE225280_ja_JP.html
水環境工学特論,第2,金2,工-53,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/24/24_MM60140_ja_JP.html
特別活動論　他学部用、第2ターム,第2,金3,全学講義棟 1-206,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_P44081_ja_JP.html
ICT活用の理論と実践　第2ターム、初回授業は金1、小（音・図・体）・中（音・美・体）,第2,金3,"全学講義棟 1-301, 情報メディア端末室(1), 情報メディア端末室(2)",https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y44063_ja_JP.html
測量学,第2,金3,工-32,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76360_ja_JP.html
AL2（課題解決型プログラムｂ）　第２ターム 金３・金４,第2,金3,全学講義棟 1-205,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ605011_ja_JP.html
課題解決型特別演習G,第2,金3,工-セミナー室6,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/24/24_MM80170_ja_JP.html
構造解析特論Ⅰ,第2,金3,理-3番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240201/240201_MM21070_ja_JP.html
データ解析学演習,第2,金3,工-セミナー室5,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/24/24_MM60180_ja_JP.html
課題解決型特別演習G,第2,金3,工-セミナー室6,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/2500/2500_D90240_ja_JP.html
教職入門 II　他学部用、人数が多い場合は3年生優先,第2,金4,全学講義棟 1-206,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_P32811_ja_JP.html
特別活動論　他学部用、第2ターム,第2,金4,教育Ａ２１０講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_P44083_ja_JP.html
ICT活用の理論と実践　他学部用、第2ターム、週2コマ、初回授業は金1,第2,金4,"全学講義棟 1-301, 情報メディア端末室(1), 情報メディア端末室(2)",https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_P44069_ja_JP.html
アジア経済論　第２ターム,第2,金4,全学講義棟 1-207,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A03103_ja_JP.html
物権法　第２ターム,第2,金4,経-A504,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A05105_ja_JP.html
寄附講義「実践ベンチャー論」　第２ターム,第2,金4,経-B301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A23200_ja_JP.html
測量学,第2,金4,工-32,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76360_ja_JP.html
AL2（課題解決型プログラムｂ）　第２ターム 金３・金４,第2,金4,全学講義棟 1-205,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ605011_ja_JP.html
Japanese-style Management,第2,金4,経-A302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BE225240_ja_JP.html
構造解析特論Ⅰ,第2,金4,理-3番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240201/240201_MM21070_ja_JP.html
データ解析学演習,第2,金4,工-セミナー室5,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/24/24_MM60180_ja_JP.html
アジア経済論　第２ターム,第2,金5,全学講義棟 1-207,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A03103_ja_JP.html
物権法　第２ターム,第2,金5,経-A504,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A05105_ja_JP.html
寄附講義「実践ベンチャー論」　第２ターム,第2,金5,経-B301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A23200_ja_JP.html
Japanese-style Management,第2,金5,経-A302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BE225240_ja_JP.html
漢文学特講 IIB,第1・2,月1,教育Ａ１１２講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y10282_ja_JP.html
書道（書写）Ｂ　30人制限,第1・2,月1,教育Ａ３２５講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y10311_ja_JP.html
美術史概論(鑑賞並びに日本の伝統美術及びアジアの美術を含む。),第1・2,月1,教育Ａ２１３講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y20300_ja_JP.html
教育臨床演習 IIA,第1・2,月1,Ｈ棟研究室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y44163_ja_JP.html
経済情報リテラシー　第１・２ターム,第1・2,月1,情報メディア端末室(3),https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A01601_ja_JP.html
相対論,第1・2,月1,理-9番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0402/0402_R12126_ja_JP.html
物理化学Ⅲ,第1・2,月1,理-1番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0403/0403_R13037_ja_JP.html
発生情報学演習Ⅰ,第1・2,月1,学科指定教室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0405/0405_R15241_ja_JP.html
化学基礎,第1・2,月1,工-54,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_RT3001-4_ja_JP.html
英語Ⅱ(Academic English Skills 2a)　再履修（2014年度以前入学者用） 第1・2ターム連続,第1・2,月1,全学講義棟 2-502,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12801_ja_JP.html
ドイツ語Ⅰa（文法）,第1・2,月1,教養学部-21,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX21111_ja_JP.html
ドイツ語Ⅰa（文法）,第1・2,月1,全学講義棟 1-305,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX21112_ja_JP.html
フランス語Ⅰa（文法）,第1・2,月1,全学講義棟 2-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX22111_ja_JP.html
フランス語Ⅰa（文法）,第1・2,月1,教養学部-38,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX22112_ja_JP.html
フランス語Ⅰa（文法）,第1・2,月1,理-4番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX22113_ja_JP.html
中国語Ⅰa（文法）,第1・2,月1,全学講義棟 1-205,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX23111_ja_JP.html
中国語Ⅰa（文法）,第1・2,月1,教養学部-23,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX23112_ja_JP.html
中国語Ⅰa（文法）,第1・2,月1,全学講義棟 1-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX23113_ja_JP.html
中国語Ⅰa（文法）,第1・2,月1,全学講義棟 1-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX23114_ja_JP.html
中国語Ⅰa（文法）,第1・2,月1,教養学部-24,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX23115_ja_JP.html
ロシア語Ⅰa（文法）,第1・2,月1,全学講義棟 2-102,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX24111_ja_JP.html
韓国語Ⅰa（文法）,第1・2,月1,全学講義棟 1-304,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX25111_ja_JP.html
韓国語Ⅰa（文法）,第1・2,月1,教養学部-33,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX25113_ja_JP.html
韓国語Ⅰa（文法）,第1・2,月1,全学講義棟 2-203,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX25115_ja_JP.html
イタリア語Ⅰa（運用）,第1・2,月1,全学講義棟 3-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX26112_ja_JP.html
スペイン語Ⅰa（文法）,第1・2,月1,全学講義棟 1-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX27111_ja_JP.html
スペイン語Ⅰa（文法）,第1・2,月1,全学講義棟 1-203,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX27112_ja_JP.html
日本語B(漢字) a,第1・2,月1,全学講義棟 1-204,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200502_ja_JP.html
Governance and Development,第1・2,月1,教養学部各研究室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BC122351_ja_JP.html
電力工学特論,第1・2,月1,電気電子物理会議室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240302/240302_MM32040_ja_JP.html
ハイブリッド磁気工学特論,第1・2,月1,工-51,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240302/240302_MM32230_ja_JP.html
生体情報分子特論,第1・2,月1,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/250002/250002_D20661_ja_JP.html
アファイン代数幾何学特論,第1・2,月1,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/250003/250003_D30015_ja_JP.html
特異点論,第1・2,月1,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/250003/250003_D30030_ja_JP.html
複素代数幾何学特論,第1・2,月1,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/250003/250003_D30105_ja_JP.html
知能情報処理特論,第1・2,月1,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/250003/250003_D30570_ja_JP.html
博物館資料論,第1・2,月2,教養学部-33,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F00603_ja_JP.html
地理学演習Ⅰ,第1・2,月2,教養学部-34,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F26096_ja_JP.html
芸術論史研究法Ａ,第1・2,月2,教養学部-21,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F32061_ja_JP.html
日本史演習Ⅰ,第1・2,月2,教養学部-36,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F36091_ja_JP.html
スラブの芸術Ⅰ,第1・2,月2,教養学部-22,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F44161_ja_JP.html
イギリス文化演習Ⅰ,第1・2,月2,全学講義棟 1-303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F46021_ja_JP.html
中国近現代文化特殊講義Ⅲ,第1・2,月2,教養学部-24,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F55093_ja_JP.html
韓国文化特殊講義Ⅰ,第1・2,月2,教養学部-23,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F55101_ja_JP.html
日本語学演習Ⅱ,第1・2,月2,教養学部-35,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F56002_ja_JP.html
書道（書写）Ａ　30人制限,第1・2,月2,教育Ａ３２５講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y10310_ja_JP.html
中等理科指導法Ａ,第1・2,月2,教育Ａ３２４講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y16041_ja_JP.html
中等音楽科指導法Ａ,第1・2,月2,教育コモ棟音楽第１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y18040_ja_JP.html
中等美術科指導法Ａ,第1・2,月2,教育Ａ２１２講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y20050_ja_JP.html
中等家庭科指導法Ｃ,第1・2,月2,教育Ａ４２６講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y24045_ja_JP.html
英語学演習 IIA　黒板の教室,第1・2,月2,教育Ａ１１１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y28180_ja_JP.html
英作文 IA　英,第1・2,月2,教育Ａ２０１セミナー室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y28211_ja_JP.html
特別研究IIＡ（英語学演習IIＡ）　黒板の教室,第1・2,月2,教育Ａ１１１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y29180_ja_JP.html
特別支援教育概論　Y60190と同時限,第1・2,月2,教育Ａ２１０講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y36015_ja_JP.html
保健科指導法Ａ,第1・2,月2,教育Ａ３０１学校保健学実習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y60031_ja_JP.html
特別支援教育概論　Y36015と同時限,第1・2,月2,教育Ａ２１０講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y60190_ja_JP.html
経済情報リテラシー　第１・２ターム,第1・2,月2,情報メディア端末室(3),https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A01602_ja_JP.html
代数学Ａ,第1・2,月2,理-10番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0401/0401_R11272_ja_JP.html
量子力学Ⅱ,第1・2,月2,理-8番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0402/0402_R12172_ja_JP.html
熱力学・統計熱力学,第1・2,月2,理-1番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0403/0403_R13180_ja_JP.html
植物分子生理学Ⅰ,第1・2,月2,理-11番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0404/0404_R14110_ja_JP.html
調節生理学Ⅰ,第1・2,月2,理-9番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0405/0405_R15260_ja_JP.html
化学基礎,第1・2,月2,全学講義棟 1-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0403/0403_RT3011_ja_JP.html
量子化学,第1・2,月2,工-21,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0524/0524_T64070_ja_JP.html
電力発生工学,第1・2,月2,工-50,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0522/0522_T72260_ja_JP.html
情報通信工学基礎論,第1・2,月2,工-11,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0522/0522_T72430_ja_JP.html
信号処理,第1・2,月2,工-56,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0523/0523_T73580_ja_JP.html
分析化学Ⅰ,第1・2,月2,全学講義棟 1-403,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0524/0524_T74180_ja_JP.html
英語Ⅱ(Academic English Skills 2a)　再履修（2014年度以前入学者用） 第1・2ターム連続,第1・2,月2,全学講義棟 2-502,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12802_ja_JP.html
フランス語Ⅱa（講読）　隔年開講,第1・2,月2,教養学部-38,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX22211_ja_JP.html
AL2（Sociology of Identity & Human Emotions）　第１・２ターム 月２,第1・2,月2,ERC（英語なんでも相談室）,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ600191_ja_JP.html
国際政治学研究基礎Ⅱ,第1・2,月2,教養学部棟4階国際関係ﾌﾟﾛｼﾞｪｸﾄ室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BC110112_ja_JP.html
国際開発学研究基礎Ⅱ,第1・2,月2,教養学部各研究室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BC110152_ja_JP.html
文化人類学研究基礎Ⅰ,第1・2,月2,教養学部棟5階 文化資源調査室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BC110330_ja_JP.html
基礎分子生物学4,第1・2,月2,理-11番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240101/240101_MM11210_ja_JP.html
生体応答制御学輪講A,第1・2,月2,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240102/240102_MM12400_ja_JP.html
代数学特論Ⅰ,第1・2,月2,理-10番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240301/240301_MM31160_ja_JP.html
マイクロ波回路特論,第1・2,月2,工-12,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240302/240302_MM32070_ja_JP.html
電気電子物理工学輪講Ⅰ　(柿崎),第1・2,月2,工-52,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240302/240302_MM323213_ja_JP.html
ビジュアル情報特論,第1・2,月2,工-51,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240303/240303_MM33270_ja_JP.html
電力システム工学特論,第1・2,月2,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/250003/250003_D30271_ja_JP.html
ネットワークシステム特論,第1・2,月2,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/250003/250003_D30640_ja_JP.html
中国現代文化研究特論Ⅱ,第1・2,月2,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/27/27_GC12322_ja_JP.html
博物館概論,第1・2,月3,教養学部-21,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F00601_ja_JP.html
国際政治学入門,第1・2,月3,全学講義棟 1-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F11001_ja_JP.html
国際開発学演習Ⅰ,第1・2,月3,教養学部-37,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F16071_ja_JP.html
地理学実習A（地理学実習基礎）,第1・2,月3,教養学部-34,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F220821_ja_JP.html
メディアコミュニケーション概論,第1・2,月3,全学講義棟 1-205,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F24021_ja_JP.html
ヨーロッパ地誌,第1・2,月3,全学講義棟 1-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F24071_ja_JP.html
社会学特殊講義Ⅵ,第1・2,月3,全学講義棟 2-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F25006_ja_JP.html
考古人類学,第1・2,月3,教養学部-31,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F25051_ja_JP.html
西洋史概説Ａ,第1・2,月3,全学講義棟 1-403,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F31101_ja_JP.html
現代哲学Ⅱ,第1・2,月3,全学講義棟 1-203,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F34002_ja_JP.html
芸術史Ⅰ,第1・2,月3,教養学部-22,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F34111_ja_JP.html
フランス思想特殊講義Ⅱ,第1・2,月3,教養学部-24,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F45022_ja_JP.html
イギリス文化演習Ⅲ,第1・2,月3,全学講義棟 1-303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F46023_ja_JP.html
中国近現代文化概説,第1・2,月3,全学講義棟 1-304,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F51041_ja_JP.html
韓国語作文Ⅱ,第1・2,月3,教養学部-33,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F53042_ja_JP.html
日本古典演習Ⅴ,第1・2,月3,全学講義棟 1-204,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F56025_ja_JP.html
中等国語科指導法Ａ　（教養学部は「国語科指導法Ａ」）,第1・2,月3,教育Ａ１１２講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y10041_ja_JP.html
日本史学特講Ａ,第1・2,月3,教育Ａ２１２講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y12100_ja_JP.html
初等理科指導法　小（教・英）・中英・副,第1・2,月3,教育Ａ３２４講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y16031_ja_JP.html
初等音楽科指導法　小（心・音・体）・副,第1・2,月3,教育コモ棟音楽第１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y18031_ja_JP.html
初等家庭科指導法　小（算・理）・特・副,第1・2,月3,教育Ｃ１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y24031_ja_JP.html
初等家庭科指導法　小（社・図・も・家）・副,第1・2,月3,全学講義棟 1-206,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y24032_ja_JP.html
木の学校・木の教育,第1・2,月3,教育学部プロジェクト室（Ｄ棟）,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y26050_ja_JP.html
英語文学演習 IA,第1・2,月3,教育Ａ２１１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y28046_ja_JP.html
応用言語学演習 IIA,第1・2,月3,Ｈ棟ＬＬ教室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y28260_ja_JP.html
特別研究IＡ（英語文学演習IＡ）,第1・2,月3,教育Ａ２１１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y29046_ja_JP.html
特別研究IIＡ（応用言語学演習IIＡ）,第1・2,月3,Ｈ棟ＬＬ教室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y29262_ja_JP.html
教師教育学概論,第1・2,月3,教育Ａ３２５講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y32451_ja_JP.html
幼児理解と教育相談,第1・2,月3,コモ棟３０９講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y38051_ja_JP.html
自然災害と防災教育,第1・2,月3,教育Ａ２１４講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y52500_ja_JP.html
世界音楽の旅A　15人制限,第1・2,月3,遠隔授業,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y55100_ja_JP.html
経済情報リテラシー　第１・２ターム,第1・2,月3,情報メディア端末室(3),https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A01603_ja_JP.html
線形代数学Ｃ演習,第1・2,月3,理-10番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0401/0401_R11175_ja_JP.html
物理数学Ⅲ,第1・2,月3,理-8番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0402/0402_R12284_ja_JP.html
物理学演習ⅡＡ,第1・2,月3,理-2番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0402/0402_R12385_ja_JP.html
分子生物学基礎,第1・2,月3,理-11番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0404/0404_R14122_ja_JP.html
生体制御学実験Ⅱ,第1・2,月3,学科指定教室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0405/0405_R15023_ja_JP.html
合成・解析化学実験Ⅰ,第1・2,月3,学科指定教室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0403/0403_R13555_ja_JP.html
分子生物科学実験Ⅰ,第1・2,月3,学科指定教室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0404/0404_R14351_ja_JP.html
物理化学Ⅰ,第1・2,月3,全学講義棟 3-101,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0524/0524_RT3002-2_ja_JP.html
数値解析Ⅰ,第1・2,月3,工-11,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T61140_ja_JP.html
技術者倫理,第1・2,月3,教育Ａ１１４講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71270_ja_JP.html
電磁気学Ⅰ,第1・2,月3,全学講義棟 1-207,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0522/0522_T72030_ja_JP.html
画像処理工学,第1・2,月3,工-52,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0523/0523_T73500_ja_JP.html
分析化学演習,第1・2,月3,工-56,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0524/0524_T74250_ja_JP.html
有機分子工学Ⅰ,第1・2,月3,工-22,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0524/0524_T74290_ja_JP.html
地盤工学II,第1・2,月3,工-32,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76100_ja_JP.html
