講義名,開講期間,曜日・時限,講義室,URL
日本語B(総合) a,第1,月2,全学講義棟 1-204,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200102_ja_JP.html
日本語A(総合) a,第1,月2,全学講義棟 3-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200101_ja_JP.html
教科指導の課題探求　共通科目、第１ターム,第1,月2,教育Ａ１１０講義室（教職大学院講義室）,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/1806/1806_W10025_ja_JP.html
教育経営の課題探求　共通科目、第１ターム,第1,月2,教育Ａ４２７講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/1806/1806_W10045_ja_JP.html
材料工学特論,第1,月2,工-54,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240401/240401_MM40170_ja_JP.html
構造振動論(E),第1,月2,工-32,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240501/240501_MM50110_ja_JP.html
プレゼミ　第１ターム,第1,月3,経-B301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A01210_ja_JP.html
プレゼミ　第１ターム,第1,月3,経-B302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A01212_ja_JP.html
プレゼミ　第１ターム,第1,月3,経-B303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A01215_ja_JP.html
国際経営論　第１ターム,第1,月3,経-B201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A03101_ja_JP.html
生産加工学　月３・水３の週２回授業,第1,月3,工-12,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71250_ja_JP.html
基本情報技術概論Ⅰ　月３・水３の週２回授業,第1,月3,工-55,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0523/0523_T73220_ja_JP.html
建設材料工学　月３・水３の週２回授業,第1,月3,全学講義棟 1-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76190_ja_JP.html
英語Ⅰ(General English Skills 1a)　GES 教育F01　第1ターム,第1,月3,全学講義棟 2-102,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11101_ja_JP.html
英語Ⅰ(General English Skills 1a)　GES 教育F02　第1ターム,第1,月3,全学講義棟 2-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11102_ja_JP.html
英語Ⅰ(General English Skills 1a)　GES 教育F03　第1ターム,第1,月3,全学講義棟 2-501,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11103_ja_JP.html
英語Ⅰ(General English Skills 1a)　GES 教育F04　第1ターム,第1,月3,全学講義棟 2-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11104_ja_JP.html
英語Ⅰ(General English Skills 1a)　GES 教育F05　第1ターム,第1,月3,全学講義棟 2-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11105_ja_JP.html
英語Ⅰ(General English Skills 1a)　GES 教育F06　第1ターム,第1,月3,全学講義棟 1-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11106_ja_JP.html
英語Ⅰ(General English Skills 1a)　GES 教育F07+再履生　第1ターム,第1,月3,全学講義棟 2-502,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11107_ja_JP.html
英語Ⅰ(English for Specific Purposes 1a)　ESP 第1ターム　月３・水３,第1,月3,全学講義棟 1-305,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11402_ja_JP.html
英語Ⅰ(Academic Essay Writing 1a)　AEW 第1ターム　月３・水３,第1,月3,全学講義棟 2-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11602_ja_JP.html
ヨーロッパ社会史Ⅱ,第1,月3,教養学部401演習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BC124420_ja_JP.html
水圏数値解析学(E),第1,月3,コース指定教室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240501/240501_MM50150_ja_JP.html
河川環境工学特論,第1,月3,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/250005/250005_D50180_ja_JP.html
幼児と健康　「体つくり運動」と同時限、第1ターム、副2年以上(23年入学者～),第1,月4,総合体育館,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y38310_ja_JP.html
特別活動論　第1ターム、小（国・英・家）・中（国・英・家）・特・副,第1,月4,教育Ｃ１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y44071_ja_JP.html
経済政策論　第１ターム,第1,月4,全学講義棟 1-207,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A02112_ja_JP.html
国際比較経営論　第１ターム,第1,月4,全学講義棟 1-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A03108_ja_JP.html
会社法　第１ターム,第1,月4,経-A405,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A05108_ja_JP.html
演習Ⅰ　第１ターム,第1,月4,経-B301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07131_ja_JP.html
演習Ⅰ　第１ターム,第1,月4,経-A301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07133_ja_JP.html
演習Ⅰ　第１ターム,第1,月4,経-B302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07135_ja_JP.html
演習Ⅰ　第１ターム,第1,月4,経-B303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07139_ja_JP.html
演習Ⅳ　第１ターム,第1,月4,経-B301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07431_ja_JP.html
演習Ⅳ　第１ターム,第1,月4,経-A301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07433_ja_JP.html
演習Ⅳ　第１ターム,第1,月4,経-B302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07435_ja_JP.html
